WORD,WORDDEF
analgesia,absence of the sense of pain without loss of consciousness
analgesic,capable of relieving pain
analogous,similar or equivalent in some respects though otherwise dissimilar
analogy,an inference that if things agree in some respects they probably agree in others
analytic,"using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)"
analyze,break down into components or essential features
anarchist,an advocate of anarchism
anarchy,a state of lawlessness and disorder (usually resulting from a failure of government)
anathema,a formal ecclesiastical curse accompanied by excommunication
anathematize,curse or declare to be evil or anathema or threaten with divine punishment
anatomy,alternative names for the body of a human being
anchor,a central cohesive source of support and stability
ancillary,furnishing added support
andirons,Plural form of andiron
anecdote,short account of an incident (especially a biographical one)
anemia,a deficiency of red blood cells
anesthesia,loss of bodily sensation with or without loss of consciousness
anesthesiologist,a specialist who administers an anesthetic to a patient before he is treated
anesthetic,a drug that causes temporary loss of bodily sensations
angst,"an acute but unspecific feeling of anxiety, usually reserved for philosophical anxiety about the world or about personal freedom"
anguish,suffer great pains or distress
angular,measured by an angle or by the rate of change of an angle
anhydrous,"without water, especially without water of crystallization"
animadversion,harsh criticism or disapproval
animated,having life or vigor or spirit
animosity,a feeling of ill will arousing active hostility
animus,a feeling of ill will arousing active hostility
ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
annals,reports of the work of a society or learned body etc
anneal,"bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling"
annex,take (territory) as if by conquest
annexation,the formal act of acquiring something (especially territory) by conquest or occupation
annihilate,kill in large numbers
annotate,provide interlinear explanations for words or phrases
annuity,income from capital investment paid in a series of regular payments
annul,cancel officially
anodyne,capable of relieving pain
anoint,"administer an oil or ointment to , often in a religious ceremony of blessing"
anomalous,deviating from the general or common order or type
anomaly,(astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)
anonymity,the state of being anonymous
anonymous,having no known name or identity or known source
antagonism,an actively expressed feeling of dislike and hostility
antagonist,a drug that neutralizes or counteracts the effects of another drug
antagonistic,characterized by antagonism or antipathy
antagonize,provoke the hostility of
antebellum,belonging to a period before a war especially the American Civil War
antecede,"be earlier in time, go back further"
antecedent,someone from whom you are descended (but usually more remote than a grandparent)
antecedents,Plural form of antecedent
antedate,"be earlier in time, go back further"
antediluvian,a very old person
anterior,of or near the head end or toward the front plane of a body
anteroom,a large entrance or reception room or area
anthem,a song of praise (to God or to a saint or to a nation)
anthology,a collection of selected literary passages
anthropoid,resembling apes
anthropologist,a social scientist who specializes in anthropology
anthropology,the social science that studies the origins and social relationships of human beings
anthropomorphic,suggesting human characteristics for animals or inanimate things
antibiotic,a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
antibody,"any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response"
anticipate,realize beforehand
anticlimax,a disappointing decline after a previous rise
antidote,a remedy that stops or controls the effects of a poison
antifreeze,a liquid added to the water in a cooling system to lower its freezing point
antinomy,a contradiction between two statements that seem equally reasonable
antipathy,"the object of a feeling of intense aversion, something to be avoided"
antipodal,the relation of opposition along a diameter
antipodes,any two places or regions on diametrically opposite sides of the Earth
antiquarian,of or relating to persons who study or deal in antiques or antiquities
antiquated,so extremely old as seeming to belong to an earlier period
antique,made in or typical of earlier times and valued for its age
antiquity,extreme oldness
antiseptic,thoroughly clean and free of or destructive to disease-causing organisms
antisocial,hostile to or disruptive of normal standards of social behavior
antispasmodic,a drug used to relieve or prevent spasms (especially of the smooth muscles)
antithesis,exact opposite
antonym,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
apartheid,"a social policy or racial segregation involving political and economic and legal discrimination against people who are not Whites, the former official policy in South Africa"
apathetic,marked by a lack of interest
apathy,an absence of emotion or enthusiasm
ape,imitate uncritically and in every aspect
aperture,a device that controls amount of light admitted
apex,the highest point (of something)
aphasia,inability to use or understand language (spoken or written) because of a brain lesion
aphorism,a short pithy instructive saying
apiary,a shed containing a number of beehives
aplomb,great coolness and composure under strain
apocalypse,a cosmic cataclysm in which God destroys the ruling powers of evil
apocalyptic,prophetic of devastation or ultimate doom
apocope,abbreviation of a word by omitting the final sound or sounds
apocrypha,"Certain writings which are received by some Christians as an authentic part of the Holy Scriptures, but are rejected by others."
apocryphal,of or belonging to the Apocrypha
apodictic,"of a proposition, necessarily true or logically certain"
apogee,a final climactic stage
apolitical,politically neutral
apologue,a short moral story (often with animal characters)
apology,a poor example
apophysis,(botany) a natural swelling or enlargement: at the base of the stalk or seta in certain mosses or on the cone scale of certain conifers
apoplexy,a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
apostasy,the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)
apostate,not faithful to religion or party or cause
apostle,any important early teacher of Christianity or a Christian missionary to a people
apostrophe,address to an absent or imaginary person
apothecary,a health professional trained in the art of preparing and dispensing drugs
apothegm,a short pithy instructive saying
apotheosis,"model of excellence or perfection of a kind, one having no equal"
appall,"fill with apprehension or alarm, cause to be unpleasantly surprised"
appalling,causing consternation
apparatus,equipment designed to serve a specific function
apparel,provide with clothes or put clothes on
apparition,a ghostly appearing figure
appease,"cause to be more favorably inclined, gain the good will of"
appeasement,the act of appeasing (as by acceding to the demands of)
appellation,identifying word or words by which someone or something is called and classified or distinguished from others
append,add to the very end
appendage,an external body part that projects from the body
appendicitis,inflammation of the vermiform appendix
appetite,a feeling of craving something
applaud,express approval of
applicable,"capable of being applied, having relevance"
application,the work of applying something
appointee,an official who is appointed
apportion,give out as one's portion or share
apposite,being of striking appropriateness and pertinence
apposition,a grammatical relation between a word and a noun phrase that follows
appraisal,the classification of someone or something with respect to its worth
appraise,"evaluate or estimate the nature, quality, ability, extent, or significance of"
appreciable,enough to be estimated or measured
appreciate,"be fully aware of, realize fully"
apprehend,anticipate with dread or anxiety
apprehensive,mentally upset over possible misfortune or danger etc
apprenticeship,the position of apprentice
apprise,inform (somebody) of something
approach,a relatively short golf shot intended to put the ball onto the putting green
approbation,official recognition or approval
appropriate,give or assign a resource to a particular person or cause
approximate,be close or similar
appurtenance,equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
appurtenances,Plural form of appurtenance
apropos,of an appropriate or pertinent nature
apt,(usually followed by `to') naturally disposed toward
aptitude,inherent ability
aquiline,curved down like an eagle's beak
arable,(of farmland) capable of being farmed productively
arbiter,someone chosen to judge and decide a disputed issue
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice
arbitrate,act between parties with a view to reconciling differences
arboretum,a facility where trees and shrubs are cultivated for exhibition
arcade,a covered passageway with shops and stalls on either side
arcane,requiring secret or mysterious knowledge
archaeology,"The systematic study of past human life and culture by the recovery and examination of remaining material evidence, such as graves, buildings, tools, and pottery."
archaic,little evolved from or characteristic of an earlier ancestral type
archetype,something that serves as a model or a basis for making copies
archipelago,a group of many islands in a large body of water
archives,collection of records especially about an institution
ardent,glowing or shining like fire
ardor,intense feeling of love
arduous,"characterized by effort to the point of exhaustion, especially physical effort"
argot,a characteristic language of a particular group (as among thieves)
aria,an elaborate song for solo voice
arid,lacking sufficient water or rainfall
aristocratic,belonging to or characteristic of the nobility or aristocracy
armada,a large fleet
armament,the act of equiping with weapons in preparation for war
armistice,a state of peace agreed to between opponents so they can discuss peace terms
aromatic,having a strong pleasant odor
arouse,"call forth (emotions, feelings, and responses)"
arraign,call before a court to answer an indictment
arrant,"without qualification, used informally as (often pejorative) intensifiers"
array,an orderly arrangement
arrears,the state of being behind in payments
arrhythmic,lacking a steady rhythm
arrogance,overbearing pride evidenced by a superior manner toward inferiors
arrogant,having or showing feelings of unwarranted importance out of overbearing pride
arrogate,make undue claims to having
arroyo,a stream or brook
arsenal,a place where arms are manufactured
artful,"not straightforward or candid, giving a false appearance of frankness"
articulate,"speak, pronounce, or utter in a certain way"
artifacts,Plural form of artifact
artifice,a deceptive maneuver (especially to avoid capture)
artillery,an army unit that uses big guns
artisan,a skilled worker who practices some trade or handicraft
artless,showing lack of art
artlessness,the quality of innocent naivete
ascend,become king or queen
ascendancy,the state that exists when one person or group has power over another
ascertain,"find out, learn, or determine with certainty, usually by making an inquiry or other effort"
ascetic,pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
asceticism,the trait of great self-denial (especially refraining from worldly pleasures)
ascribe,attribute or credit to
aseptic,free of or using methods to keep free of pathological microorganisms
asexual,not having or involving sex
ashamed,feeling shame or guilt or embarrassment or remorse
ashen,anemic looking from illness or emotion
asinine,devoid of intelligence
askance,with suspicion or disapproval
askew,turned or twisted to one side
asocial,given to avoiding association with others
aspect,a distinct feature or element in a problem
asperity,harshness of manner
aspersion,an abusive attack on a person's character or good name
aspirant,desiring or striving for recognition or advancement
aspiration,a will to succeed
aspire,have an ambitious plan or a lofty goal
assail,attack someone physically or emotionally
assailant,someone who attacks
assault,a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
assay,a substance that is undergoing an analysis of its components
assemble,get people together
assent,to agree or express agreement
assert,assert to be true
assertive,aggressively self-assured
assess,"evaluate or estimate the nature, quality, ability, extent, or significance of"
assessment,the classification of someone or something with respect to its worth
asset,a useful or valuable quality
asseverate,state categorically
assiduous,marked by care and persistent effort
assignment,(law) a transfer of property by deed of conveyance
assimilate,make similar
assistant,of or relating to a person who is subordinate to another
assize,the regulation of weights and measures of articles offered for sale
associate,"keep company with, hang out with"
assorted,consisting of a haphazard assortment of different kinds
assuage,satisfy (thirst)
assume,occupy or take on
assurance,a binding commitment to do or give or refrain from something
assure,assure somebody of the truth of something with the intention of giving the listener confidence
asteroid,shaped like a star
astigmatism,(optics) defect in an optical system in which light rays from a single point fail to converge in a single focal point
astound,affect with wonder
astral,being or relating to or resembling or emanating from stars
astray,far from the intended target
astringent,sour or bitter in taste
astronomer,a physicist who studies astronomy
astronomical,relating or belonging to the science of astronomy
astute,marked by practical hardheaded intelligence
asunder,widely separated especially in space
asylum,a hospital for mentally incompetent or unbalanced person
asymmetric,characterized by asymmetry in the spatial arrangement or placement of parts or components
atavism,a reappearance of an earlier characteristic
atelier,a studio especially for an artist or designer
atheist,someone who denies the existence of god
atheistic,related to or characterized by or given to atheism
athwart,at right angles to the center line of a ship
atomic,of or relating to or comprising atoms
atonal,characterized by avoidance of traditional western tonality
atone,turn away from sin or do penitence
atrocity,an act of atrocious cruelty
atrophy,a decrease in size of an organ caused by disease or disuse
attachment,a feeling of affection for a person or an institution
attain,"reach a destination, either real or abstract"
attainment,an ability that has been acquired by training
attempt,make an effort or attempt
attention,the faculty or power of mental concentration
attenuate,weaken the consistency of (a chemical substance)
attest,give testimony in a court of law
attire,clothing of a distinctive style or for a particular occasion
attract,direct toward itself or oneself by means of some psychological power or physical attributes
attribute,attribute or credit to
attrition,sorrow for sin arising from fear of damnation
attune,"adjust or accustom to, bring into harmony with"
atypical,"not representative of a group, class, or type"
audacious,disposed to venture or take risks
audacity,aggressive boldness or unmitigated effrontery
audible,heard or perceptible by the ear
audit,attend academic courses without getting credit
audition,perform in order to get a role
augment,grow or intensify
augur,predict from an omen
augury,an event that is experienced as indicating important things to come
august,of or befitting a lord
aureole,an indication of radiant light drawn around the head of a saint
auroral,of or relating to the atmospheric phenomenon auroras
auscultation,listening to sounds within the body (usually with a stethoscope)
auspices,kindly endorsement and guidance
auspicious,auguring favorable circumstances and good luck
austere,severely simple
austerity,the trait of great self-denial (especially refraining from worldly pleasures)
authentic,not counterfeit or copied
authenticate,establish the authenticity of something
authoritarian,expecting unquestioning obedience
authoritative,having authority or ascendancy or influence
authority,"freedom from doubt, belief in yourself and your abilities"
authorize,give or delegate power or authority to
autobiography,a biography of yourself
autocracy,a political theory favoring unlimited authority by a single individual
autocrat,a cruel and oppressive dictator
autocratic,"characteristic of an absolute ruler or absolute rule, having absolute sovereignty"
autograph,a person's own signature
automatic,resembling the unthinking functioning of a machine
automaton,someone who acts or responds in a mechanical or apathetic way
autonomous,(of political bodies) not controlled by outside forces
autonomy,personal independence
autopsy,"perform an autopsy on a dead body, do a post-mortem"
auxiliary,furnishing added support
avail,take or use
available,obtainable or accessible and ready for use or service
avant-garde,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
avarice,"reprehensible acquisitiveness, insatiable desire for wealth (personified as one of the deadly sins)"
avatar,a new personification of a familiar idea
avenge,take revenge for a perceived wrong
aver,to declare or affirm solemnly and formally as true
averse,(usually followed by `to') strongly opposed
aversion,a feeling of intense dislike
avert,"prevent the occurrence of, prevent from happening"
aviary,a building where birds are kept
avid,marked by active interest and enthusiasm
avocation,an auxiliary activity
avouch,"admit openly and bluntly, make no bones about"
avow,to declare or affirm solemnly and formally as true
avowed,openly declared as such
avuncular,resembling a uncle in kindness or indulgence
awe,inspire awe in
awry,turned or twisted toward one side
axiom,"(logic) a proposition that is not susceptible of proof or disproof, its truth is assumed to be self-evident"
axiomatic,containing aphorisms or maxims
azure,a light shade of blue
babble,to talk foolishly
bacchanal,someone who engages in drinking bouts
bacchanalian,used of riotously drunken merrymaking
badger,persuade through constant efforts
badinage,frivolous banter
baffle,check the emission of (sound)
bagatelle,something of little value or significance
bait,harass with persistent criticism or carping
bald,lacking hair on all or most of the scalp
baleful,threatening or foreshadowing evil or tragic developments
balk,an illegal pitching motion while runners are on base
ballast,any heavy material used to stabilize a ship or airship
balloon,large tough nonrigid bag filled with gas or heated air
ballyhoo,blatant or sensational promotion
balm,any of various aromatic resinous substances used for healing and soothing
balmy,mild and pleasant
ban,a bachelor's degree in nursing
banal,"repeated too often, overfamiliar through overuse"
banality,a trite or obvious remark
bandanna,"large and brightly colored handkerchief, often used as a neckerchief"
bandy,discuss lightly
bane,something causing misery or death
baneful,deadly or sinister
bankruptcy,a legal process intended to insure equality among the creditors of a corporation declared to be insolvent
banter,be silly or tease one another
bantering,cleverly amusing in tone
baptism,a Christian sacrament signifying spiritual cleansing and rebirth
bar,"expel, as if by official decree"
barb,provide with barbs
baroque,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe"
barrage,the rapid and continuous delivery of linguistic communication (spoken or written)
barricade,block off with barricades
barrister,a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution
barterer,a trader who exchanges goods and not money
bask,"derive or receive pleasure from, get enjoyment from, take pleasure in"
bassoon,"a double-reed instrument, the tenor of the oboe family"
bastion,a stronghold into which people could go for shelter during a battle
bate,soak in a special solution to soften and remove chemicals used in previous treatments
batten,furnish with battens
bauble,a mock scepter carried by a court jester
beatific,"marked by utter benignity, resembling or befitting an angel or saint"
beatify,"declare (a dead person) to be blessed, the first step of achieving sainthood"
beatitude,"one of the eight sayings of Jesus at the beginning of the Sermon on the Mount, in Latin each saying begins with `beatus' (blessed)"
beckon,signal with the hands or nod
bedizen,decorate tastelessly
bedlam,a state of extreme confusion and disorder
bedraggle,"make wet and dirty, as from rain"
befall,"happen, occur, or be the case in the course of events or by chance"
befuddle,make stupid with alcohol
beget,make children
begin,"be the first item or point, constitute the beginning or start, come first in a series"
begrudge,wish ill or allow unwillingly
beguile,"attract, cause to be enamored"
behalf,as the agent of or on someone's part (usually expressed as
behavior,(behavioral attributes) the way a person behaves toward other people
behead,cut the head of
behemoth,someone or something that is abnormally large and powerful
behest,an authoritative command or request
behold,see with attention
beholden,under a moral obligation to someone
behoove,be appropriate or necessary
belabor,attack verbally with harsh criticism
belated,"after the expected or usual time, delayed"
belay,"fasten a boat to a bitt, pin, or cleat"
beleaguer,annoy persistently
belie,represent falsely
belittle,"lessen the authority, dignity, or reputation of"
bellicose,having or showing a ready disposition to fight
belligerent,characteristic of an enemy or one eager to fight
bellow,shout loudly and without restraint
bemoan,regret strongly
bemuse,cause to be confused emotionally
bemused,deeply absorbed in thought
benediction,the act of praying for divine protection
benefactor,a person who helps people or institutions (especially with financial help)
beneficence,"doing good, feeling beneficent"
beneficent,doing or producing good
beneficial,promoting or enhancing well-being
beneficiary,the semantic role of the intended recipient who benefits from the happening denoted by the verb in the clause
benefit,financial assistance in time of need
benevolence,disposition to do good
benevolent,showing or motivated by sympathy and understanding and generosity
benighted,overtaken by night or darkness
benign,kindness of disposition or manner
benignity,a kind act
